recommendation_rank,hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,revenue_percentile_rank,recency_score,engagement_percentile_rank,prioritization_score,recommended_action
294,HCP0296,Dr. Chanakya Bedi,T008,Hyderabad Central,Tier 1,3024330.7,29,42.55,21,Low Engagement,High Risk,54.5,0.496,0.802,0.048,47.3,Schedule follow-up call
295,HCP0495,Dr. Siya Morar,T003,Nashik North,Tier 2,3218089.86,49,44.29,6,High Value,Low Risk,34.4,0.54,0.384,0.09,47.2,Maintain engagement
296,HCP0427,Dr. Lakshit Rajagopal,T007,Bengaluru Urban,Tier 2,4638762.68,31,47.23,5,Low Engagement,Low Risk,37.9,0.782,0.326,0.246,47.0,Monitor low engagement
297,HCP0251,Dr. Ira Khosla,T011,Ahmedabad Gujarat,Tier 2,2963628.95,28,53.71,5,Low Engagement,Low Risk,36.5,0.488,0.326,0.756,46.9,Monitor low engagement
298,HCP0376,Dr. Bhavini Badal,T004,Nagpur Vidarbha,Tier 3,1651680.28,37,53.7,17,Low Engagement,Medium Risk,40.5,0.16,0.704,0.754,46.8,Monitor low engagement
299,HCP0256,Dr. Varenya Gopal,T004,Nagpur Vidarbha,Tier 1,4574095.95,47,45.68,0,High Value,Low Risk,27.7,0.778,0.038,0.168,46.7,Maintain engagement
300,HCP0298,Dr. Neha Pau,T010,Kolkata East,Tier 1,2465989.14,27,51.26,11,Low Engagement,Medium Risk,43.4,0.38,0.563,0.576,46.7,Monitor low engagement
301,HCP0021,Dr. Xiti Gokhale,T009,Chennai Metro,Tier 2,2160306.92,32,53.66,11,Low Engagement,Medium Risk,39.9,0.282,0.563,0.751,46.7,Monitor low engagement
302,HCP0253,Dr. Upma Bassi,T001,Pune Central,Tier 3,4344993.78,40,48.68,4,Low Engagement,Medium Risk,29.8,0.758,0.264,0.358,46.6,Monitor low engagement
303,HCP0416,Dr. Raksha Sethi,T008,Hyderabad Central,Tier 3,2330987.93,34,62.76,5,Low Engagement,Low Risk,25.4,0.34,0.326,0.996,46.6,Monitor low engagement
304,HCP0434,Dr. Amrita Peri,T002,Mumbai Metro,Tier 3,1376896.47,60,54.25,7,High Value,Low Risk,28.4,0.094,0.421,0.786,46.6,Maintain engagement
305,HCP0264,Dr. Damini Sehgal,T012,Jaipur Rajasthan,Tier 2,3033247.85,36,51.75,6,Low Engagement,Low Risk,34.2,0.504,0.384,0.62,46.5,Monitor low engagement
306,HCP0078,Dr. Chandresh Krish,T006,Gurgaon Corporate,Tier 2,1604912.71,30,53.5,18,Low Engagement,Medium Risk,45.7,0.144,0.73,0.731,46.5,Monitor low engagement
307,HCP0193,Dr. Gopal Pradhan,T001,Pune Central,Tier 3,3993873.92,45,44.4,2,High Value,Low Risk,32.1,0.694,0.155,0.096,45.9,Maintain engagement
308,HCP0297,Dr. Abhiram Chokshi,T009,Chennai Metro,Tier 3,3167652.52,30,51.77,5,Low Engagement,Low Risk,37.0,0.53,0.326,0.624,45.8,Monitor low engagement
309,HCP0398,Dr. Dev Ganesh,T002,Mumbai Metro,Tier 2,3029339.13,45,45.82,5,High Value,Low Risk,34.5,0.502,0.326,0.174,45.8,Maintain engagement
310,HCP0232,Dr. Pranit Kala,T004,Nagpur Vidarbha,Tier 2,2577518.75,53,49.68,4,High Value,Medium Risk,28.4,0.404,0.264,0.436,45.8,Maintain engagement
311,HCP0155,Dr. Farhan Raja,T011,Ahmedabad Gujarat,Tier 1,2441848.92,33,48.42,17,Low Engagement,Medium Risk,46.2,0.374,0.704,0.334,45.8,Monitor low engagement
312,HCP0140,Dr. Yashodhara Mahajan,T008,Hyderabad Central,Tier 3,2607291.48,35,44.77,21,Low Engagement,High Risk,49.9,0.41,0.802,0.115,45.7,Schedule follow-up call
313,HCP0496,Dr. Nakul Modi,T004,Nagpur Vidarbha,Tier 3,1672029.39,40,56.08,11,Low Engagement,Medium Risk,32.9,0.17,0.563,0.894,45.7,Monitor low engagement
314,HCP0020,Dr. Chaaya Saran,T008,Hyderabad Central,Tier 3,3841864.92,37,51.76,2,Low Engagement,Low Risk,29.4,0.672,0.155,0.622,45.6,Monitor low engagement
315,HCP0250,Dr. Yutika Khurana,T010,Kolkata East,Tier 1,2113493.6,40,47.62,26,Low Engagement,Medium Risk,46.6,0.27,0.857,0.268,45.5,Monitor low engagement
316,HCP0053,Dr. Aradhana Basu,T005,Delhi NCR,Tier 3,3551118.1,35,49.91,5,Low Engagement,Medium Risk,35.1,0.612,0.326,0.46,45.3,Monitor low engagement
317,HCP0065,Dr. Hemani Murthy,T005,Delhi NCR,Tier 3,1378730.28,35,53.2,19,Low Engagement,Medium Risk,44.3,0.098,0.756,0.711,45.3,Monitor low engagement
318,HCP0352,Dr. Daksh Dey,T004,Nagpur Vidarbha,Tier 2,2409006.54,58,54.81,0,High Value,Low Risk,21.3,0.364,0.038,0.817,45.2,Maintain engagement
319,HCP0320,Dr. Charles Chaudhry,T008,Hyderabad Central,Tier 3,2724180.29,39,41.49,22,Low Engagement,High Risk,50.4,0.432,0.814,0.024,45.0,Schedule follow-up call
320,HCP0120,Dr. Darpan Chaudhary,T012,Jaipur Rajasthan,Tier 1,3026516.78,39,45.28,14,Low Engagement,Medium Risk,42.1,0.5,0.651,0.141,44.8,Monitor low engagement
321,HCP0304,Dr. Falak Nagar,T004,Nagpur Vidarbha,Tier 2,3432081.12,40,52.02,3,Low Engagement,Low Risk,28.3,0.584,0.216,0.642,44.7,Monitor low engagement
322,HCP0187,Dr. Manbir Bhatti,T007,Bengaluru Urban,Tier 3,831238.47,44,53.52,23,Low Engagement,Low Risk,40.3,0.004,0.826,0.735,44.6,Monitor low engagement
323,HCP0440,Dr. Nisha Bhargava,T008,Hyderabad Central,Tier 3,966033.11,28,57.5,15,Low Engagement,Medium Risk,43.0,0.022,0.668,0.927,44.3,Monitor low engagement
324,HCP0135,Dr. Odika Bhagat,T003,Nashik North,Tier 3,2841780.55,46,46.02,5,High Value,Low Risk,34.6,0.45,0.326,0.183,44.2,Maintain engagement
325,HCP0149,Dr. Upasna Lanka,T005,Delhi NCR,Tier 3,3354472.31,35,40.77,13,Low Engagement,Medium Risk,49.0,0.574,0.622,0.012,43.9,Monitor low engagement
326,HCP0218,Dr. Peter Tak,T002,Mumbai Metro,Tier 3,2389140.65,47,47.13,6,High Value,Low Risk,34.6,0.36,0.384,0.236,43.8,Maintain engagement
327,HCP0114,Dr. Chatura Master,T006,Gurgaon Corporate,Tier 3,3902068.32,37,49.27,3,Low Engagement,Medium Risk,32.4,0.686,0.216,0.41,43.6,Monitor low engagement
328,HCP0395,Dr. Ekta Rajan,T011,Ahmedabad Gujarat,Tier 3,3809248.34,28,53.07,0,Low Engagement,Low Risk,32.7,0.668,0.038,0.704,43.6,Monitor low engagement
329,HCP0147,Dr. Balhaar Date,T003,Nashik North,Tier 3,1859826.65,38,54.87,9,Low Engagement,Medium Risk,34.6,0.206,0.495,0.824,43.5,Monitor low engagement
330,HCP0261,Dr. Harinakshi Grover,T009,Chennai Metro,Tier 3,2261082.5,28,59.18,4,Low Engagement,Low Risk,32.5,0.322,0.264,0.962,43.4,Monitor low engagement
331,HCP0335,Dr. Vanya Dua,T011,Ahmedabad Gujarat,Tier 3,1911014.85,40,48.68,20,Low Engagement,Medium Risk,43.9,0.222,0.782,0.358,43.3,Monitor low engagement
332,HCP0247,Dr. Tanveer Doctor,T007,Bengaluru Urban,Tier 3,1583308.31,42,42.71,34,Growth Potential,High Risk,55.9,0.136,0.906,0.056,43.1,Schedule follow-up call
333,HCP0357,Dr. Urvashi Khosla,T009,Chennai Metro,Tier 2,1279535.13,34,52.06,19,Low Engagement,Medium Risk,46.8,0.068,0.756,0.649,43.0,Monitor low engagement
334,HCP0366,Dr. Unnati Chaudhari,T006,Gurgaon Corporate,Tier 2,2730150.84,32,45.53,14,Low Engagement,Medium Risk,47.9,0.436,0.651,0.16,42.9,Monitor low engagement
335,HCP0373,Dr. Ekansh Dora,T001,Pune Central,Tier 3,1942820.38,50,55.04,1,High Value,Low Risk,24.8,0.228,0.096,0.849,42.8,Maintain engagement
336,HCP0254,Dr. Ishanvi Bir,T002,Mumbai Metro,Tier 2,2242601.07,63,46.11,7,High Value,Low Risk,34.2,0.318,0.421,0.195,42.7,Maintain engagement
337,HCP0166,Dr. Hamsini Contractor,T010,Kolkata East,Tier 3,1806443.76,46,51.61,13,Low Engagement,Medium Risk,35.1,0.194,0.622,0.616,42.7,Monitor low engagement
338,HCP0004,Dr. Saumya Mall,T004,Nagpur Vidarbha,Tier 2,2696443.45,57,50.11,1,High Value,Medium Risk,26.1,0.428,0.096,0.488,42.6,Maintain engagement
339,HCP0460,Dr. Yug Malhotra,T004,Nagpur Vidarbha,Tier 3,4095438.55,34,51.24,0,Low Engagement,Low Risk,30.9,0.714,0.038,0.572,42.5,Monitor low engagement
340,HCP0429,Dr. Shravya Bera,T009,Chennai Metro,Tier 2,3136951.1,34,43.76,12,Low Engagement,Medium Risk,46.7,0.524,0.589,0.076,42.5,Monitor low engagement
341,HCP0465,Dr. Anay Bir,T009,Chennai Metro,Tier 2,3086548.8,42,54.9,1,Low Engagement,Low Risk,24.1,0.514,0.096,0.832,42.5,Monitor low engagement
342,HCP0017,Dr. Champak Choudhary,T005,Delhi NCR,Tier 3,3040696.3,30,57.5,0,Low Engagement,Low Risk,29.0,0.508,0.038,0.927,42.4,Monitor low engagement
343,HCP0152,Dr. Sachi Ganesan,T008,Hyderabad Central,Tier 3,2844633.64,38,49.13,8,Low Engagement,Medium Risk,37.0,0.452,0.459,0.395,42.4,Monitor low engagement
344,HCP0341,Dr. Anthony Randhawa,T005,Delhi NCR,Tier 3,1143562.74,41,55.17,13,Low Engagement,Medium Risk,35.9,0.048,0.622,0.856,42.4,Monitor low engagement
345,HCP0363,Dr. Siddharth Gupta,T003,Nashik North,Tier 2,2792685.88,35,53.83,3,Low Engagement,Low Risk,32.4,0.448,0.216,0.758,42.3,Monitor low engagement
346,HCP0060,Dr. Balvan Singhal,T012,Jaipur Rajasthan,Tier 3,2203888.58,38,46.11,19,Low Engagement,Medium Risk,46.8,0.304,0.756,0.195,42.2,Monitor low engagement
347,HCP0191,Dr. Dhriti Sane,T011,Ahmedabad Gujarat,Tier 2,4125681.92,37,48.81,2,Low Engagement,Medium Risk,32.0,0.718,0.155,0.369,42.1,Monitor low engagement
348,HCP0279,Dr. Edhitha Borah,T003,Nashik North,Tier 2,3285061.74,42,47.24,7,Low Engagement,Low Risk,34.3,0.558,0.421,0.248,42.1,Monitor low engagement
349,HCP0438,Dr. Daniel Panchal,T006,Gurgaon Corporate,Tier 3,3038550.22,33,50.06,5,Low Engagement,Medium Risk,37.9,0.506,0.326,0.478,42.0,Monitor low engagement
350,HCP0153,Dr. Daksh Memon,T009,Chennai Metro,Tier 1,2749761.95,43,49.07,8,Low Engagement,Medium Risk,33.6,0.442,0.459,0.384,41.9,Monitor low engagement
351,HCP0150,Dr. Lajita Nadig,T006,Gurgaon Corporate,Tier 3,2468420.59,44,50.14,8,Low Engagement,Medium Risk,32.9,0.382,0.459,0.49,41.9,Monitor low engagement
352,HCP0285,Dr. Ayush Bumb,T009,Chennai Metro,Tier 1,3600991.84,30,50.2,2,Low Engagement,Medium Risk,36.2,0.63,0.155,0.496,41.6,Monitor low engagement
353,HCP0190,Dr. Odika Nori,T010,Kolkata East,Tier 3,3049791.8,33,49.76,5,Low Engagement,Medium Risk,38.2,0.51,0.326,0.45,41.6,Monitor low engagement
354,HCP0406,Dr. Raksha Manne,T010,Kolkata East,Tier 3,1876117.72,36,48.69,18,Low Engagement,Medium Risk,46.5,0.214,0.73,0.362,41.6,Monitor low engagement
355,HCP0486,Dr. Hiral Andra,T006,Gurgaon Corporate,Tier 3,831699.94,29,45.59,39,Growth Potential,High Risk,65.2,0.006,0.93,0.165,41.5,Schedule follow-up call
356,HCP0378,Dr. Amara Ranganathan,T006,Gurgaon Corporate,Tier 3,2680889.14,37,43.7,15,Low Engagement,Medium Risk,47.0,0.426,0.668,0.074,41.4,Monitor low engagement
357,HCP0125,Dr. Amaira Dhar,T005,Delhi NCR,Tier 3,2104075.72,36,51.58,9,Low Engagement,Medium Risk,39.1,0.266,0.495,0.614,41.4,Monitor low engagement
358,HCP0332,Dr. Chasmum Apte,T008,Hyderabad Central,Tier 3,2765222.13,36,48.58,8,Low Engagement,Medium Risk,39.5,0.444,0.459,0.35,41.3,Monitor low engagement
359,HCP0056,Dr. Benjamin Morar,T008,Hyderabad Central,Tier 3,2176503.44,36,61.22,3,Low Engagement,Low Risk,25.6,0.292,0.216,0.984,41.3,Monitor low engagement
360,HCP0308,Dr. Onkar Viswanathan,T008,Hyderabad Central,Tier 3,1371734.62,32,52.72,14,Low Engagement,Medium Risk,45.0,0.088,0.651,0.688,41.3,Monitor low engagement
361,HCP0146,Dr. Eesha Solanki,T002,Mumbai Metro,Tier 3,2582538.79,43,51.56,5,Low Engagement,Low Risk,30.2,0.406,0.326,0.612,41.2,Monitor low engagement
362,HCP0274,Dr. Ekaja Palan,T010,Kolkata East,Tier 2,1771561.74,28,51.93,11,Low Engagement,Medium Risk,45.3,0.186,0.563,0.638,41.1,Monitor low engagement
363,HCP0161,Dr. Chandran Taneja,T005,Delhi NCR,Tier 3,1200831.92,30,41.93,45,Growth Potential,High Risk,70.2,0.054,0.95,0.031,41.1,Schedule follow-up call
364,HCP0294,Dr. Wishi Morar,T006,Gurgaon Corporate,Tier 3,1399670.24,36,50.47,18,Low Engagement,Medium Risk,46.2,0.104,0.73,0.518,40.8,Monitor low engagement
365,HCP0483,Dr. Gabriel Shan,T003,Nashik North,Tier 3,2086635.09,36,48.03,16,Low Engagement,Medium Risk,45.9,0.258,0.684,0.309,40.7,Monitor low engagement
366,HCP0259,Dr. Rayaan Mangal,T007,Bengaluru Urban,Tier 2,3585612.64,31,48.55,3,Low Engagement,Medium Risk,38.0,0.62,0.216,0.347,40.1,Monitor low engagement
367,HCP0417,Dr. Ishwar Bajaj,T009,Chennai Metro,Tier 3,1260408.26,37,53.19,13,Low Engagement,Medium Risk,41.0,0.062,0.622,0.708,39.9,Monitor low engagement
368,HCP0169,Dr. Hritik Kaur,T001,Pune Central,Tier 3,1770570.25,49,44.86,10,High Value,Medium Risk,40.6,0.184,0.529,0.123,39.8,Monitor low engagement
369,HCP0235,Dr. Noah Sarma,T007,Bengaluru Urban,Tier 3,1630271.13,37,52.46,10,Low Engagement,Medium Risk,39.4,0.154,0.529,0.68,39.8,Monitor low engagement
370,HCP0168,Dr. Jatin Sha,T012,Jaipur Rajasthan,Tier 2,2645179.33,42,54.02,2,Low Engagement,Low Risk,26.9,0.42,0.155,0.77,39.7,Monitor low engagement
371,HCP0036,Dr. Arya Shere,T012,Jaipur Rajasthan,Tier 2,1610905.03,39,59.36,5,Low Engagement,Low Risk,28.1,0.148,0.326,0.964,39.2,Monitor low engagement
372,HCP0329,Dr. Yutika Narang,T005,Delhi NCR,Tier 3,1491613.86,26,48.12,20,Low Engagement,Medium Risk,54.3,0.124,0.782,0.323,39.2,Monitor low engagement
373,HCP0377,Dr. Manthan Khosla,T005,Delhi NCR,Tier 2,2291425.74,38,56.24,2,Low Engagement,Low Risk,28.6,0.332,0.155,0.896,39.1,Monitor low engagement
374,HCP0184,Dr. Siya Thakur,T004,Nagpur Vidarbha,Tier 3,2443021.11,46,51.07,5,Low Engagement,Low Risk,30.0,0.376,0.326,0.556,39.0,Monitor low engagement
375,HCP0384,Dr. Sarthak Dhawan,T012,Jaipur Rajasthan,Tier 3,2048780.13,30,44.77,19,Low Engagement,Medium Risk,54.3,0.252,0.756,0.115,38.8,Monitor low engagement
376,HCP0084,Dr. Oeshi Reddy,T012,Jaipur Rajasthan,Tier 3,1133787.06,38,48.08,26,Low Engagement,Medium Risk,51.0,0.046,0.857,0.319,38.6,Monitor low engagement
377,HCP0014,Dr. Simon Tata,T002,Mumbai Metro,Tier 2,2492199.52,43,57.91,0,Low Engagement,Low Risk,21.5,0.388,0.038,0.938,38.4,Monitor low engagement
378,HCP0196,Dr. Vasatika Kapur,T004,Nagpur Vidarbha,Tier 3,1799364.44,59,51.41,2,High Value,Low Risk,28.3,0.192,0.155,0.595,38.3,Maintain engagement
379,HCP0425,Dr. Krish Munshi,T005,Delhi NCR,Tier 3,929498.45,38,54.34,11,Low Engagement,Medium Risk,38.8,0.016,0.563,0.793,38.3,Monitor low engagement
380,HCP0292,Dr. Chandresh Mannan,T004,Nagpur Vidarbha,Tier 3,4275895.54,38,44.61,2,Low Engagement,Low Risk,35.4,0.75,0.155,0.108,38.0,Monitor low engagement
381,HCP0243,Dr. Chatresh Randhawa,T003,Nashik North,Tier 2,2358047.8,44,49.16,7,Low Engagement,Medium Risk,34.1,0.35,0.421,0.398,37.8,Monitor low engagement
382,HCP0315,Dr. Varsha Palla,T003,Nashik North,Tier 3,1422664.96,56,55.98,0,High Value,Low Risk,24.0,0.11,0.038,0.89,37.8,Maintain engagement
383,HCP0288,Dr. Nakul Sarraf,T012,Jaipur Rajasthan,Tier 3,3087415.01,40,49.28,3,Low Engagement,Medium Risk,32.4,0.516,0.216,0.412,37.7,Monitor low engagement
384,HCP0119,Dr. Lajita Seshadri,T011,Ahmedabad Gujarat,Tier 3,2179361.57,42,56.07,2,Low Engagement,Low Risk,26.4,0.294,0.155,0.892,37.7,Monitor low engagement
385,HCP0358,Dr. Ubika Bhardwaj,T010,Kolkata East,Tier 3,1130153.47,38,55.34,8,Low Engagement,Low Risk,36.1,0.044,0.459,0.874,37.7,Monitor low engagement
386,HCP0283,Dr. Zashil Hegde,T007,Bengaluru Urban,Tier 2,3197563.18,39,49.9,2,Low Engagement,Medium Risk,31.8,0.538,0.155,0.458,37.6,Monitor low engagement
387,HCP0197,Dr. Ishwar Mallick,T005,Delhi NCR,Tier 2,2187754.54,40,48.02,10,Low Engagement,Medium Risk,39.7,0.298,0.529,0.306,37.4,Monitor low engagement
388,HCP0492,Dr. Sneha Magar,T012,Jaipur Rajasthan,Tier 3,1890205.39,38,53.66,5,Low Engagement,Low Risk,34.3,0.216,0.326,0.751,37.3,Monitor low engagement
389,HCP0007,Dr. Caleb Sharaf,T007,Bengaluru Urban,Tier 3,3238864.04,30,40.3,7,Low Engagement,Low Risk,50.5,0.546,0.421,0.01,36.9,Monitor low engagement
390,HCP0043,Dr. Quincy Biswas,T007,Bengaluru Urban,Tier 3,1018092.68,35,52.06,12,Low Engagement,Medium Risk,44.0,0.028,0.589,0.649,36.6,Monitor low engagement
391,HCP0077,Dr. Hredhaan Sandal,T005,Delhi NCR,Tier 2,1667003.26,36,47.5,16,Low Engagement,Medium Risk,47.9,0.166,0.684,0.262,36.5,Monitor low engagement
392,HCP0200,Dr. Azaan Chand,T008,Hyderabad Central,Tier 3,2897822.63,31,44.97,7,Low Engagement,Low Risk,45.9,0.466,0.421,0.128,36.4,Monitor low engagement
393,HCP0316,Dr. Megha Pai,T004,Nagpur Vidarbha,Tier 3,2379308.63,45,46.18,9,Low Engagement,Medium Risk,37.8,0.356,0.495,0.2,36.3,Monitor low engagement
394,HCP0276,Dr. Warjas Tak,T012,Jaipur Rajasthan,Tier 3,1119271.97,34,64.21,5,Low Engagement,Low Risk,28.2,0.042,0.326,0.998,36.2,Monitor low engagement
395,HCP0127,Dr. Neha Magar,T007,Bengaluru Urban,Tier 3,2213130.94,43,43.84,13,Low Engagement,Medium Risk,43.4,0.308,0.622,0.082,36.0,Monitor low engagement
396,HCP0224,Dr. David Seshadri,T008,Hyderabad Central,Tier 1,3650841.81,29,46.17,2,Low Engagement,Low Risk,41.2,0.638,0.155,0.198,35.9,Monitor low engagement
397,HCP0380,Dr. Nidra Raghavan,T008,Hyderabad Central,Tier 2,3323499.34,42,46.81,3,Low Engagement,Low Risk,33.2,0.566,0.216,0.226,35.8,Monitor low engagement
398,HCP0487,Dr. Hemang Jha,T007,Bengaluru Urban,Tier 2,2586997.18,37,47.43,6,Low Engagement,Medium Risk,39.7,0.408,0.384,0.252,35.8,Monitor low engagement
399,HCP0272,Dr. Sanaya Kala,T008,Hyderabad Central,Tier 3,2091679.92,29,53.9,3,Low Engagement,Low Risk,38.5,0.26,0.216,0.764,35.8,Monitor low engagement
400,HCP0257,Dr. Balhaar Memon,T005,Delhi NCR,Tier 2,2444710.44,38,46.03,8,Low Engagement,Low Risk,41.7,0.378,0.459,0.186,35.7,Monitor low engagement
401,HCP0245,Dr. Madhav Devan,T005,Delhi NCR,Tier 3,2170752.13,43,42.67,14,Low Engagement,Medium Risk,45.4,0.288,0.651,0.053,35.6,Monitor low engagement
402,HCP0289,Dr. Harini Dhawan,T001,Pune Central,Tier 2,2168003.41,47,54.57,2,Low Engagement,Low Risk,25.8,0.286,0.155,0.802,35.6,Monitor low engagement
403,HCP0005,Dr. Harini Mall,T005,Delhi NCR,Tier 1,2276457.35,43,56.3,0,Low Engagement,Low Risk,24.2,0.326,0.038,0.9,35.5,Monitor low engagement
404,HCP0262,Dr. Fitan Samra,T010,Kolkata East,Tier 1,2012822.3,30,42.47,17,Low Engagement,Medium Risk,56.3,0.246,0.704,0.042,35.5,Monitor low engagement
405,HCP0201,Dr. Sudiksha Om,T009,Chennai Metro,Tier 2,1400495.46,34,44.47,23,Low Engagement,High Risk,56.3,0.106,0.826,0.102,35.5,Schedule follow-up call
406,HCP0126,Dr. Bhavya Sarna,T006,Gurgaon Corporate,Tier 3,2203167.79,34,51.38,4,Low Engagement,Low Risk,38.4,0.302,0.264,0.592,35.3,Monitor low engagement
407,HCP0047,Dr. Tara Chaudhry,T011,Ahmedabad Gujarat,Tier 3,1086739.79,36,52.33,10,Low Engagement,Medium Risk,42.1,0.034,0.529,0.666,35.3,Monitor low engagement
408,HCP0057,Dr. Zaid Chauhan,T009,Chennai Metro,Tier 2,2873951.46,35,46.46,5,Low Engagement,Low Risk,41.2,0.462,0.326,0.208,35.1,Monitor low engagement
409,HCP0015,Dr. Liam Koshy,T003,Nashik North,Tier 3,2430297.61,36,47.75,6,Low Engagement,Medium Risk,40.7,0.372,0.384,0.28,35.1,Monitor low engagement
410,HCP0035,Dr. Rehaan Gupta,T011,Ahmedabad Gujarat,Tier 3,2422475.94,29,45.48,8,Low Engagement,Low Risk,48.3,0.37,0.459,0.152,34.7,Monitor low engagement
411,HCP0113,Dr. Chasmum Atwal,T005,Delhi NCR,Tier 3,1876015.88,43,47.56,11,Low Engagement,Medium Risk,39.9,0.212,0.563,0.264,34.5,Monitor low engagement
412,HCP0475,Dr. Adya Bose,T007,Bengaluru Urban,Tier 3,1875249.0,34,54.29,3,Low Engagement,Low Risk,36.1,0.21,0.216,0.788,34.5,Monitor low engagement
413,HCP0059,Dr. Nisha Kothari,T011,Ahmedabad Gujarat,Tier 3,1860655.26,33,59.94,1,Low Engagement,Low Risk,29.7,0.208,0.096,0.968,34.5,Monitor low engagement
414,HCP0355,Dr. Warhi Batta,T007,Bengaluru Urban,Tier 3,2226410.36,28,50.46,4,Low Engagement,Low Risk,42.5,0.312,0.264,0.516,34.1,Monitor low engagement
415,HCP0263,Dr. Chaaya Nagi,T011,Ahmedabad Gujarat,Tier 3,2875168.18,30,51.33,0,Low Engagement,Low Risk,36.7,0.464,0.038,0.582,34.0,Monitor low engagement
416,HCP0129,Dr. Veer Bail,T009,Chennai Metro,Tier 3,1227346.02,36,50.03,12,Low Engagement,Medium Risk,45.2,0.056,0.589,0.473,34.0,Monitor low engagement
417,HCP0025,Dr. Ekapad Walia,T001,Pune Central,Tier 3,1383966.94,42,47.67,15,Low Engagement,Medium Risk,43.7,0.1,0.668,0.272,33.9,Monitor low engagement
418,HCP0498,Dr. Chandani Lad,T006,Gurgaon Corporate,Tier 2,1376655.33,38,49.18,12,Low Engagement,Medium Risk,43.9,0.092,0.589,0.402,33.9,Monitor low engagement
419,HCP0494,Dr. Dipta Ray,T002,Mumbai Metro,Tier 3,2862428.85,52,43.67,0,High Value,Low Risk,33.2,0.458,0.038,0.072,33.6,Maintain engagement
420,HCP0069,Dr. Chakrika Datta,T009,Chennai Metro,Tier 2,2231919.04,30,43.8,10,Low Engagement,Medium Risk,51.1,0.314,0.529,0.08,33.4,Monitor low engagement
421,HCP0188,Dr. Lakshmi Wali,T008,Hyderabad Central,Tier 3,2357478.82,39,53.64,0,Low Engagement,Low Risk,29.7,0.348,0.038,0.747,33.2,Monitor low engagement
422,HCP0399,Dr. Veda Bose,T003,Nashik North,Tier 3,1667548.57,40,54.38,3,Low Engagement,Low Risk,31.9,0.168,0.216,0.796,33.2,Monitor low engagement
423,HCP0415,Dr. Tamanna Jhaveri,T007,Bengaluru Urban,Tier 2,3246716.68,40,48.0,1,Low Engagement,Medium Risk,32.6,0.548,0.096,0.303,33.1,Monitor low engagement
424,HCP0422,Dr. Jasmit Nanda,T002,Mumbai Metro,Tier 3,1275695.8,36,59.86,3,Low Engagement,Low Risk,30.5,0.066,0.216,0.966,33.1,Monitor low engagement
425,HCP0359,Dr. Lipika Kibe,T011,Ahmedabad Gujarat,Tier 3,1787357.06,33,54.91,2,Low Engagement,Low Risk,36.0,0.19,0.155,0.836,33.0,Monitor low engagement
426,HCP0128,Dr. Balveer Sankaran,T008,Hyderabad Central,Tier 3,1485515.39,49,54.47,4,Low Engagement,Low Risk,28.5,0.118,0.264,0.798,33.0,Monitor low engagement
427,HCP0432,Dr. Thomas Master,T012,Jaipur Rajasthan,Tier 3,2106343.39,38,42.53,12,Low Engagement,Medium Risk,48.8,0.268,0.589,0.045,32.9,Monitor low engagement
428,HCP0431,Dr. Ojasvi Sawhney,T011,Ahmedabad Gujarat,Tier 2,2724294.52,39,49.13,2,Low Engagement,Medium Risk,34.2,0.434,0.155,0.395,32.7,Monitor low engagement
429,HCP0071,Dr. Shivansh Sani,T011,Ahmedabad Gujarat,Tier 3,2623543.97,42,48.43,3,Low Engagement,Medium Risk,33.7,0.414,0.216,0.336,32.6,Monitor low engagement
430,HCP0356,Dr. Omaja Rege,T008,Hyderabad Central,Tier 3,1847875.88,36,55.5,1,Low Engagement,Low Risk,32.6,0.204,0.096,0.88,32.6,Monitor low engagement
431,HCP0011,Dr. Ekbal Garg,T011,Ahmedabad Gujarat,Tier 3,4197629.13,36,41.08,0,Low Engagement,Low Risk,40.7,0.728,0.038,0.018,31.9,Monitor low engagement
432,HCP0462,Dr. Chatura Khatri,T006,Gurgaon Corporate,Tier 3,903766.78,36,47.03,18,Low Engagement,Medium Risk,51.4,0.012,0.73,0.232,31.9,Monitor low engagement
433,HCP0156,Dr. Triya Kumar,T012,Jaipur Rajasthan,Tier 3,1672374.57,42,47.17,10,Low Engagement,Medium Risk,41.3,0.172,0.529,0.242,31.7,Monitor low engagement
434,HCP0055,Dr. Manthan Banik,T007,Bengaluru Urban,Tier 3,1832549.9,34,54.88,1,Low Engagement,Low Risk,34.9,0.2,0.096,0.827,31.4,Monitor low engagement
435,HCP0403,Dr. Dipta Goel,T007,Bengaluru Urban,Tier 3,1010895.7,30,54.13,5,Low Engagement,Low Risk,41.9,0.026,0.326,0.782,31.3,Monitor low engagement
436,HCP0154,Dr. Yash Wali,T010,Kolkata East,Tier 3,3616612.2,34,45.24,0,Low Engagement,Low Risk,38.9,0.632,0.038,0.136,30.9,Monitor low engagement
437,HCP0485,Dr. Yatan Dora,T005,Delhi NCR,Tier 2,1837413.36,42,52.81,2,Low Engagement,Low Risk,31.5,0.202,0.155,0.694,30.6,Monitor low engagement
438,HCP0390,Dr. Ethan Butala,T006,Gurgaon Corporate,Tier 2,2553476.37,31,39.23,6,Low Engagement,Low Risk,53.0,0.398,0.384,0.004,30.5,Monitor low engagement
